n_hidden,learning_rate,reg_lambda,l1_lambda,dropout_rate,momentum,activation,optimizer,lr_decay,batch_size,weight_init,init_range,patience,val_loss,val_accuracy,trial_number
"[5, 5]",0.10999999999999997,0.006,0.0,0.05,0.7999999999999999,tanh,adam,0.02,8,glorot,"(-0.1, 0.1)",20,0,0,1
[5],0.15,0.004,0.004,0.05,0.7,sigmoid,adam,0.03,8,orthogonal,"(-0.7, 0.7)",20,0,0,2
"[5, 5]",0.06999999999999999,0.014,0.004,0.15000000000000002,0.7999999999999999,elu,adam,0.0,64,range,"(-0.5, 0.5)",10,0,0,3
"[5, 5]",0.10999999999999997,0.018000000000000002,0.008,0.15000000000000002,0.6,sigmoid,sgd,0.0,16,he,"(-0.5, 0.5)",30,0,0,4
[5],0.10999999999999997,0.006,0.008,0.0,0.7,relu,sgd,0.04,64,glorot,"(-0.7, 0.7)",10,0,0,5
"[5, 5]",0.15,0.006,0.0,0.0,0.7999999999999999,sigmoid,adam,0.0,16,gaussian,"(-0.7, 0.7)",30,0,0,6
[5],0.16999999999999998,0.004,0.004,0.1,0.7999999999999999,elu,adam,0.01,32,range,"(-0.5, 0.5)",20,0,0,7
[5],0.049999999999999996,0.008,0.002,0.0,0.5,tanh,adam,0.0,8,gaussian,"(-0.7, 0.7)",20,0,0,8
[6],0.03,0.012,0.0,0.15000000000000002,0.5,tanh,sgd,0.01,64,xavier,"(-0.1, 0.1)",10,0,0,9
[6],0.01,0.002,0.002,0.0,0.7999999999999999,sigmoid,sgd,0.01,8,gaussian,"(-0.7, 0.7)",10,0,0,1
[5],0.16999999999999998,0.018000000000000002,0.006,0.25,0.7,elu,sgd,0.01,64,he,"(-0.7, 0.7)",10,0,0,2
"[8, 4]",0.03,0.01,0.002,0.25,0.5,relu,adam,0.03,64,glorot,"(-0.5, 0.5)",30,0,0,1
"[8, 4]",0.15,0.002,0.006,0.2,0.7999999999999999,sigmoid,adam,0.03,8,glorot,"(-0.1, 0.1)",30,0,0,2
[6],0.12999999999999998,0.002,0.004,0.05,0.8999999999999999,elu,sgd,0.04,32,he,"(-0.7, 0.7)",20,0,0,3
"[8, 4]",0.16999999999999998,0.014,0.004,0.0,0.5,tanh,adam,0.02,64,gaussian,"(-0.1, 0.1)",20,0,0,4
[5],0.03,0.018000000000000002,0.004,0.15000000000000002,0.8999999999999999,leaky_relu,adam,0.03,8,glorot,"(-0.1, 0.1)",10,0,0,5
[6],0.03,0.002,0.008,0.1,0.8999999999999999,sigmoid,adam,0.03,8,gaussian,"(-0.7, 0.7)",10,0,0,6
[6],0.06999999999999999,0.004,0.006,0.1,0.7,elu,adam,0.01,64,gaussian,"(-0.5, 0.5)",30,0,0,7
"[8, 4]",0.049999999999999996,0.008,0.006,0.1,0.7,leaky_relu,adam,0.01,64,gaussian,"(-0.5, 0.5)",20,0,0,8
[5],0.03,0.01,0.006,0.25,0.8999999999999999,leaky_relu,sgd,0.01,32,range,"(-0.1, 0.1)",20,0,0,9
[6],0.049999999999999996,0.004,0.0,0.0,0.6,leaky_relu,adam,0.02,8,xavier,"(-0.5, 0.5)",10,0,0,10
[6],0.12999999999999998,0.016,0.002,0.05,0.7,relu,sgd,0.04,8,xavier,"(-0.7, 0.7)",20,0,0,11
[5],0.12999999999999998,0.008,0.006,0.2,0.6,relu,sgd,0.0,64,range,"(-0.7, 0.7)",10,0,0,12
[6],0.08999999999999998,0.018000000000000002,0.004,0.1,0.6,relu,sgd,0.0,32,xavier,"(-0.1, 0.1)",20,0,0,13
[6],0.18999999999999997,0.018000000000000002,0.004,0.2,0.5,sigmoid,sgd,0.01,64,glorot,"(-0.5, 0.5)",20,0,0,14
"[5, 5]",0.03,0.01,0.006,0.25,0.6,sigmoid,adam,0.02,8,range,"(-0.7, 0.7)",10,0,0,15
[5],0.18999999999999997,0.018000000000000002,0.006,0.15000000000000002,0.8999999999999999,tanh,adam,0.0,16,orthogonal,"(-0.7, 0.7)",10,0,0,16
[6],0.16999999999999998,0.018000000000000002,0.008,0.2,0.7,relu,adam,0.04,32,glorot,"(-0.5, 0.5)",20,0,0,17
"[5, 5]",0.06999999999999999,0.004,0.002,0.15000000000000002,0.7,tanh,adam,0.01,32,range,"(-0.7, 0.7)",30,0,0,18
[6],0.12999999999999998,0.014,0.004,0.05,0.8999999999999999,tanh,adam,0.03,32,gaussian,"(-0.5, 0.5)",20,0,0,19
"[5, 5]",0.12999999999999998,0.016,0.004,0.2,0.8999999999999999,tanh,sgd,0.03,32,xavier,"(-0.1, 0.1)",20,0,0,20
[6],0.12999999999999998,0.012,0.008,0.2,0.7,leaky_relu,adam,0.02,32,orthogonal,"(-0.5, 0.5)",20,0,0,21
"[8, 4]",0.16999999999999998,0.012,0.004,0.15000000000000002,0.7999999999999999,tanh,adam,0.04,8,range,"(-0.5, 0.5)",10,0,0,22
[6],0.12999999999999998,0.004,0.004,0.05,0.5,elu,adam,0.04,16,orthogonal,"(-0.7, 0.7)",20,0,0,23
[6],0.12999999999999998,0.004,0.004,0.05,0.6,elu,adam,0.0,16,xavier,"(-0.5, 0.5)",30,0,0,24
"[8, 4]",0.15,0.0,0.006,0.0,0.6,tanh,sgd,0.0,16,range,"(-0.1, 0.1)",20,0,0,25
[6],0.15,0.018000000000000002,0.008,0.0,0.5,leaky_relu,adam,0.0,64,orthogonal,"(-0.5, 0.5)",20,0,0,26
"[5, 5]",0.08999999999999998,0.012,0.008,0.2,0.5,tanh,adam,0.01,8,xavier,"(-0.1, 0.1)",10,0,0,27
"[8, 4]",0.06999999999999999,0.018000000000000002,0.006,0.15000000000000002,0.7,elu,sgd,0.04,32,range,"(-0.1, 0.1)",30,0,0,28
"[8, 4]",0.15,0.014,0.006,0.2,0.5,tanh,adam,0.0,64,gaussian,"(-0.5, 0.5)",10,0,0,29
"[5, 5]",0.03,0.004,0.008,0.1,0.8999999999999999,relu,adam,0.01,8,orthogonal,"(-0.1, 0.1)",20,0,0,30
[5],0.08999999999999998,0.014,0.004,0.2,0.5,tanh,adam,0.04,8,xavier,"(-0.5, 0.5)",20,0,0,31
[6],0.03,0.006,0.002,0.25,0.6,sigmoid,adam,0.01,16,xavier,"(-0.7, 0.7)",20,0,0,32
[6],0.15,0.016,0.006,0.1,0.7,relu,sgd,0.0,32,gaussian,"(-0.5, 0.5)",20,0,0,33
[6],0.049999999999999996,0.014,0.008,0.2,0.8999999999999999,leaky_relu,sgd,0.02,16,range,"(-0.1, 0.1)",20,0,0,34
[5],0.06999999999999999,0.006,0.0,0.1,0.6,relu,sgd,0.0,16,xavier,"(-0.1, 0.1)",20,0,0,35
"[8, 4]",0.15,0.006,0.004,0.25,0.5,leaky_relu,sgd,0.02,32,orthogonal,"(-0.1, 0.1)",20,0,0,36
"[5, 5]",0.08999999999999998,0.002,0.002,0.1,0.7999999999999999,leaky_relu,adam,0.01,8,glorot,"(-0.1, 0.1)",30,0,0,37
"[5, 5]",0.08999999999999998,0.002,0.0,0.1,0.7,elu,adam,0.01,16,xavier,"(-0.7, 0.7)",10,0,0,38
"[5, 5]",0.15,0.002,0.002,0.05,0.7,relu,sgd,0.0,8,he,"(-0.5, 0.5)",10,0,0,39
"[8, 4]",0.16999999999999998,0.006,0.0,0.15000000000000002,0.5,relu,sgd,0.02,32,orthogonal,"(-0.1, 0.1)",30,0,0,40
[6],0.03,0.004,0.0,0.0,0.5,elu,adam,0.02,16,xavier,"(-0.7, 0.7)",20,0,0,41
[6],0.15,0.014,0.008,0.1,0.6,relu,adam,0.04,16,gaussian,"(-0.1, 0.1)",10,0,0,42
"[8, 4]",0.08999999999999998,0.008,0.006,0.15000000000000002,0.7999999999999999,leaky_relu,sgd,0.0,64,xavier,"(-0.7, 0.7)",30,0,0,43
[6],0.01,0.012,0.0,0.05,0.5,elu,sgd,0.03,16,xavier,"(-0.1, 0.1)",10,0,0,44
[6],0.10999999999999997,0.014,0.006,0.15000000000000002,0.5,relu,sgd,0.0,32,orthogonal,"(-0.5, 0.5)",20,0,0,45
[5],0.16999999999999998,0.008,0.006,0.2,0.8999999999999999,sigmoid,sgd,0.01,64,xavier,"(-0.1, 0.1)",30,0,0,46
[5],0.16999999999999998,0.016,0.004,0.25,0.7999999999999999,leaky_relu,sgd,0.01,16,xavier,"(-0.5, 0.5)",30,0,0,47
[6],0.08999999999999998,0.004,0.004,0.25,0.6,elu,adam,0.03,16,glorot,"(-0.5, 0.5)",20,0,0,48
"[5, 5]",0.18999999999999997,0.002,0.004,0.25,0.8999999999999999,leaky_relu,sgd,0.03,16,xavier,"(-0.7, 0.7)",20,0,0,49
"[5, 5]",0.16999999999999998,0.004,0.0,0.15000000000000002,0.8999999999999999,tanh,sgd,0.01,16,xavier,"(-0.5, 0.5)",30,0,0,50
"[8, 4]",0.15,0.01,0.0,0.05,0.7999999999999999,sigmoid,sgd,0.04,8,xavier,"(-0.1, 0.1)",20,0,0,1
