Epoch,Train Loss,Train Accuracy,Validation Loss,Validation Accuracy
1,0.120323,0.6103,0.130470,0.5758
2,0.111582,0.6397,0.126094,0.5152
3,0.115150,0.6250,0.123989,0.5152
4,0.109270,0.6250,0.137730,0.5758
5,0.103847,0.6471,0.117997,0.5455
6,0.091927,0.7059,0.117462,0.5455
7,0.088272,0.6618,0.103534,0.6061
8,0.080972,0.7353,0.108682,0.6061
9,0.082851,0.7132,0.092145,0.5758
10,0.074223,0.6176,0.112025,0.6061
11,0.076589,0.7279,0.109099,0.6364
12,0.078760,0.7132,0.091900,0.6970
13,0.071347,0.7426,0.089385,0.6970
14,0.070393,0.7353,0.082971,0.7273
15,0.066826,0.7868,0.084677,0.6970
16,0.063357,0.7721,0.082967,0.7273
17,0.068299,0.7721,0.072491,0.7273
18,0.060270,0.8162,0.070498,0.7879
19,0.049113,0.8382,0.046602,0.9394
20,0.047832,0.8750,0.037437,0.9697
21,0.032449,0.9412,0.023624,1.0000
22,0.021872,0.9559,0.031755,0.9091
23,0.030087,0.9338,0.016576,0.9697
24,0.020654,0.9412,0.012792,1.0000
25,0.019609,0.9412,0.010166,1.0000
26,0.008104,0.9706,0.007136,1.0000
27,0.004475,0.9926,0.006078,1.0000
28,0.011897,0.9632,0.005195,1.0000
29,0.008967,0.9853,0.005026,1.0000
30,0.017256,0.9632,0.006253,1.0000
31,0.018228,0.9632,0.006006,1.0000
32,0.018240,0.9559,0.010040,1.0000
33,0.018848,0.9559,0.005787,1.0000
34,0.011476,0.9779,0.004725,1.0000
35,0.018257,0.9559,0.005256,1.0000
36,0.016248,0.9632,0.008440,1.0000
37,0.013953,0.9706,0.005688,1.0000
38,0.015866,0.9706,0.005098,1.0000
39,0.011361,0.9779,0.007452,0.9697
40,0.009828,0.9779,0.004855,1.0000
41,0.020144,0.9559,0.004964,1.0000
42,0.016795,0.9632,0.005916,1.0000
43,0.003677,0.9926,0.004434,1.0000
44,0.009649,0.9779,0.004103,1.0000
45,0.008785,0.9706,0.004159,1.0000
46,0.009336,0.9706,0.004201,1.0000
47,0.020093,0.9559,0.004127,1.0000
48,0.009198,0.9779,0.004378,1.0000
49,0.012693,0.9632,0.004210,1.0000
50,0.013281,0.9632,0.005956,1.0000
51,0.011416,0.9706,0.005057,1.0000
52,0.011358,0.9706,0.004357,1.0000
53,0.006695,0.9853,0.004094,1.0000
54,0.009224,0.9853,0.004055,1.0000
55,0.010595,0.9706,0.004089,1.0000
56,0.005971,0.9853,0.003977,1.0000
57,0.010726,0.9706,0.003958,1.0000
58,0.013128,0.9632,0.004207,1.0000
59,0.013616,0.9559,0.004308,1.0000
60,0.010075,0.9706,0.004381,1.0000
61,0.013094,0.9779,0.004085,1.0000
62,0.022917,0.9485,0.005652,1.0000
63,0.005177,0.9853,0.004186,1.0000
64,0.006625,0.9853,0.003740,1.0000
65,0.008722,0.9632,0.003591,1.0000
66,0.014289,0.9706,0.003893,1.0000
67,0.006431,0.9779,0.003728,1.0000
68,0.020894,0.9559,0.005794,1.0000
69,0.017349,0.9632,0.007581,1.0000
70,0.016913,0.9706,0.011666,1.0000
71,0.015976,0.9706,0.005770,1.0000
72,0.010722,0.9706,0.004466,1.0000
73,0.011687,0.9632,0.004210,1.0000
74,0.016599,0.9632,0.004380,1.0000
75,0.019914,0.9485,0.007288,1.0000
76,0.016125,0.9632,0.006135,1.0000
77,0.010211,0.9706,0.004488,1.0000
78,0.005470,0.9926,0.003845,1.0000
79,0.011327,0.9706,0.003879,1.0000
1,0.120323,0.6103,0.130470,0.5758
2,0.111582,0.6397,0.126094,0.5152
3,0.115150,0.6250,0.123989,0.5152
4,0.109270,0.6250,0.137730,0.5758
5,0.103847,0.6471,0.117997,0.5455
6,0.091927,0.7059,0.117462,0.5455
7,0.088272,0.6618,0.103534,0.6061
8,0.080972,0.7353,0.108682,0.6061
9,0.082851,0.7132,0.092145,0.5758
