n_hidden,learning_rate,reg_lambda,l1_lambda,dropout_rate,momentum,activation,optimizer,lr_decay,batch_size,weight_init,init_range,patience,val_loss,val_accuracy
[3],0.16999999999999998,0.0,0.002,0.05,0.2,tanh,adam,0.03,32,glorot,"(-0.1, 0.1)",20,0.031714418088199525,0.92
[5],0.15,0.002,0.0,0.05,0.7000000000000001,tanh,adam,0.03,16,he,"(-0.7, 0.7)",15,0.00929382375714066,1.0
[3],0.16999999999999998,0.004,0.0,0.1,0.8,tanh,sgd,0.0,64,xavier,"(-0.1, 0.1)",15,0.036817678969029786,0.9166666666666666
[5],0.06999999999999999,0.0,0.0,0.25,0.1,sigmoid,adam,0.01,8,range,"(-0.1, 0.1)",30,0.019606096597469935,0.9583333333333334
[4],0.06999999999999999,0.004,0.002,0.2,0.0,tanh,adam,0.0,64,he,"(-0.7, 0.7)",15,0.0553763517867236,0.875
[3],0.16999999999999998,0.004,0.0,0.05,0.2,tanh,adam,0.03,32,glorot,"(-0.1, 0.1)",20,0.036099306070617926,0.92
[5],0.15,0.002,0.0,0.05,0.7000000000000001,tanh,adam,0.03,16,he,"(-0.7, 0.7)",20,0.00929382375714066,1.0
[3],0.15,0.004,0.002,0.1,0.8,tanh,adam,0.04,8,xavier,"(-0.1, 0.1)",30,0.041297451285154656,0.9166666666666666
[4],0.10999999999999997,0.008,0.0,0.2,0.30000000000000004,tanh,adam,0.01,8,glorot,"(-0.5, 0.5)",30,0.02434621713202668,0.9583333333333334
[4],0.049999999999999996,0.004,0.002,0.25,0.0,tanh,adam,0.01,64,he,"(-0.7, 0.7)",20,0.052576192168092534,0.875
[3],0.16999999999999998,0.002,0.0,0.05,0.4,tanh,adam,0.01,32,glorot,"(-0.1, 0.1)",25,0.039069249210049714,0.92
[5],0.15,0.002,0.0,0.05,0.7000000000000001,tanh,adam,0.03,16,he,"(-0.7, 0.7)",25,0.00929382375714066,1.0
[4],0.049999999999999996,0.004,0.002,0.25,0.0,tanh,adam,0.01,64,he,"(-0.7, 0.7)",25,0.052576192168092534,0.875
[3],0.06999999999999999,0.0,0.002,0.1,0.2,tanh,adam,0.01,64,glorot,"(-0.5, 0.5)",20,0.009760454413971852,1.0
[3],0.16999999999999998,0.0,0.0,0.05,0.8,sigmoid,adam,0.03,16,he,"(-0.1, 0.1)",35,0.023189694850192566,0.9166666666666666
[3],0.06999999999999999,0.006,0.0,0.25,0.4,tanh,adam,0.03,32,glorot,"(-0.7, 0.7)",20,0.01594173069332779,1.0
[6],0.16999999999999998,0.002,0.002,0.0,0.4,tanh,adam,0.01,32,xavier,"(-0.1, 0.1)",20,0.050509906287846115,0.875
[4],0.16,0.0,0.0,0.1,0.7,sigmoid,sgd,0.0,2,gaussian,"(-0.5, 0.5)",15,0.026568886670373996,0.96
[4],0.16,0.0,0.0,0.1,0.7,sigmoid,sgd,0.0,2,gaussian,"(-0.1, 0.1)",15,0.03530396325781969,0.92
[4],0.16,0.0,0.0,0.1,0.75,sigmoid,sgd,0.0,2,gaussian,"(-0.5, 0.5)",15,0.02692472631064156,0.96
[4],0.16,0.0,0.0,0.1,0.75,sigmoid,sgd,0.0,2,gaussian,"(-0.1, 0.1)",15,0.038927760442158676,0.88
[4],0.16,0.0,0.0,0.1,0.8,sigmoid,sgd,0.0,2,gaussian,"(-0.5, 0.5)",15,0.0329953681219541,0.96
[4],0.16,0.0,0.0,0.1,0.8,sigmoid,sgd,0.0,2,gaussian,"(-0.1, 0.1)",15,0.0397450816702909,0.88
[4],0.16,0.0,0.0,0.1,0.8500000000000001,sigmoid,sgd,0.0,2,gaussian,"(-0.5, 0.5)",15,0.03486169973457004,0.96
[4],0.16,0.0,0.0,0.1,0.8500000000000001,sigmoid,sgd,0.0,2,gaussian,"(-0.1, 0.1)",15,0.03397954189059161,0.96
[4],0.16,0.0,0.0,0.0,0.7,sigmoid,sgd,0.0,2,gaussian,"(-0.5, 0.5)",15,0.042767660828260876,0.88
[4],0.16,0.0,0.0,0.0,0.7,sigmoid,sgd,0.0,2,gaussian,"(-0.1, 0.1)",15,0.03680995709444603,0.92
[4],0.16,0.0,0.0,0.0,0.75,sigmoid,sgd,0.0,2,gaussian,"(-0.5, 0.5)",15,0.04183655634575215,0.88
[4],0.16,0.0,0.0,0.0,0.75,sigmoid,sgd,0.0,2,gaussian,"(-0.1, 0.1)",15,0.03286479532850488,0.92
[4],0.16,0.0,0.0,0.0,0.8,sigmoid,sgd,0.0,2,gaussian,"(-0.5, 0.5)",15,0.04528578004111178,0.88
[4],0.16,0.0,0.0,0.0,0.8,sigmoid,sgd,0.0,2,gaussian,"(-0.1, 0.1)",15,0.02897307954409348,0.96
[4],0.16,0.0,0.0,0.0,0.8500000000000001,sigmoid,sgd,0.0,2,gaussian,"(-0.5, 0.5)",15,0.053071636730429014,0.88
[4],0.16,0.0,0.0,0.0,0.8500000000000001,sigmoid,sgd,0.0,2,gaussian,"(-0.1, 0.1)",15,0.029324808903962173,0.96
[4],0.16,0.0,0.0,0.15000000000000002,0.7,sigmoid,sgd,0.0,2,gaussian,"(-0.5, 0.5)",15,0.035336354005852735,0.92
[4],0.16,0.0,0.0,0.15000000000000002,0.7,sigmoid,sgd,0.0,2,gaussian,"(-0.1, 0.1)",15,0.029122690162319748,0.96
[4],0.16,0.0,0.0,0.15000000000000002,0.75,sigmoid,sgd,0.0,2,gaussian,"(-0.5, 0.5)",15,0.0334888805100512,0.96
[4],0.16,0.0,0.0,0.15000000000000002,0.75,sigmoid,sgd,0.0,2,gaussian,"(-0.1, 0.1)",15,0.03177933068286989,0.92
[4],0.16,0.0,0.0,0.15000000000000002,0.8,sigmoid,sgd,0.0,2,gaussian,"(-0.5, 0.5)",15,0.03537519544895448,0.96
[4],0.16,0.0,0.0,0.15000000000000002,0.8,sigmoid,sgd,0.0,2,gaussian,"(-0.1, 0.1)",15,0.030818706336670477,0.92
[4],0.16,0.0,0.0,0.15000000000000002,0.8500000000000001,sigmoid,sgd,0.0,2,gaussian,"(-0.5, 0.5)",15,0.03778988231108866,0.92
[4],0.16,0.0,0.0,0.15000000000000002,0.8500000000000001,sigmoid,sgd,0.0,2,gaussian,"(-0.1, 0.1)",15,0.03347711674272829,0.92
[4],0.16,0.0,0.0,0.05,0.7,sigmoid,sgd,0.0,2,gaussian,"(-0.5, 0.5)",15,0.029854942022908594,0.96
[4],0.16,0.0,0.0,0.05,0.7,sigmoid,sgd,0.0,2,gaussian,"(-0.1, 0.1)",15,0.03063168013098838,0.92
[4],0.16,0.0,0.0,0.05,0.75,sigmoid,sgd,0.0,2,gaussian,"(-0.5, 0.5)",15,0.030091453976636727,0.92
[4],0.16,0.0,0.0,0.05,0.75,sigmoid,sgd,0.0,2,gaussian,"(-0.1, 0.1)",15,0.03216684306730451,0.92
[4],0.16,0.0,0.0,0.05,0.8,sigmoid,sgd,0.0,2,gaussian,"(-0.5, 0.5)",15,0.033013481084022744,0.96
[4],0.16,0.0,0.0,0.05,0.8,sigmoid,sgd,0.0,2,gaussian,"(-0.1, 0.1)",15,0.03572967248839429,0.92
[4],0.16,0.0,0.0,0.05,0.8500000000000001,sigmoid,sgd,0.0,2,gaussian,"(-0.5, 0.5)",15,0.03639492351684106,0.88
[4],0.16,0.0,0.0,0.05,0.8500000000000001,sigmoid,sgd,0.0,2,gaussian,"(-0.1, 0.1)",15,0.029546523790394318,0.92
[4],0.16,0.0,0.0,0.25,0.8,sigmoid,sgd,0.0,2,gaussian,"(-0.5, 0.5)",15,0.01345516033494755,1.0
[4],0.16,0.0,0.0,0.25,0.8,sigmoid,sgd,0.0,2,gaussian,"(-0.1, 0.1)",15,0.0432459738828671,0.88
[4],0.16,0.0,0.0,0.25,0.9000000000000001,sigmoid,sgd,0.0,2,gaussian,"(-0.5, 0.5)",15,0.03715836755105059,0.92
[4],0.16,0.0,0.0,0.25,0.9000000000000001,sigmoid,sgd,0.0,2,gaussian,"(-0.1, 0.1)",15,0.048357597932426825,0.84
[4],0.16,0.0,0.0,0.25,0.75,sigmoid,sgd,0.0,2,gaussian,"(-0.5, 0.5)",15,0.012248792993079991,1.0
[4],0.16,0.0,0.0,0.25,0.75,sigmoid,sgd,0.0,2,gaussian,"(-0.1, 0.1)",15,0.03386847974398422,0.88
[4],0.16,0.0,0.0,0.0,0.9000000000000001,sigmoid,sgd,0.0,2,gaussian,"(-0.5, 0.5)",15,0.02430822707181639,0.92
[4],0.16,0.0,0.0,0.0,0.9000000000000001,sigmoid,sgd,0.0,2,gaussian,"(-0.1, 0.1)",15,0.031439201273807414,0.92
[4],0.16,0.0,0.0,0.2,0.8,sigmoid,sgd,0.0,2,gaussian,"(-0.5, 0.5)",15,0.022367548295760917,0.92
[4],0.16,0.0,0.0,0.2,0.8,sigmoid,sgd,0.0,2,gaussian,"(-0.1, 0.1)",15,0.0350454715163806,0.88
[4],0.16,0.0,0.0,0.2,0.9000000000000001,sigmoid,sgd,0.0,2,gaussian,"(-0.5, 0.5)",15,0.017298210714478124,1.0
[4],0.16,0.0,0.0,0.2,0.9000000000000001,sigmoid,sgd,0.0,2,gaussian,"(-0.1, 0.1)",15,0.05695415502408123,0.8
