Epoch,Train Loss,Train Accuracy,Validation Loss,Validation Accuracy
1,0.106016,0.6495,0.098396,0.6800
2,0.050182,0.8763,0.039744,0.8800
3,0.046792,0.8660,0.021084,0.9600
4,0.043406,0.9175,0.017189,1.0000
5,0.038766,0.9072,0.022202,0.9600
6,0.034754,0.9278,0.009294,1.0000
7,0.030570,0.9485,0.024897,0.9600
8,0.032495,0.9278,0.021579,0.9200
9,0.037789,0.9278,0.020656,0.9600
10,0.031887,0.9485,0.050236,0.8800
11,0.057627,0.8763,0.058478,0.8400
12,0.050455,0.8866,0.039662,0.8800
13,0.044270,0.9175,0.052260,0.8400
14,0.041696,0.9278,0.087414,0.8000
15,0.039856,0.9381,0.091490,0.7600
16,0.047623,0.8866,0.044365,0.8800
17,0.039633,0.9175,0.034960,0.9200
18,0.038684,0.9381,0.055003,0.8800
19,0.042226,0.9278,0.043117,0.8800
20,0.039322,0.9278,0.028726,0.9600
1,0.106016,0.6495,0.098396,0.6800
2,0.050182,0.8763,0.039744,0.8800
3,0.046792,0.8660,0.021084,0.9600
4,0.043406,0.9175,0.017189,1.0000
5,0.038766,0.9072,0.022202,0.9600
6,0.034754,0.9278,0.009294,1.0000
7,0.030570,0.9485,0.024897,0.9600
8,0.032495,0.9278,0.021579,0.9200
9,0.037789,0.9278,0.020656,0.9600
10,0.031887,0.9485,0.050236,0.8800
11,0.057627,0.8763,0.058478,0.8400
12,0.050455,0.8866,0.039662,0.8800
13,0.044270,0.9175,0.052260,0.8400
14,0.041696,0.9278,0.087414,0.8000
15,0.039856,0.9381,0.091490,0.7600
16,0.047623,0.8866,0.044365,0.8800
17,0.039633,0.9175,0.034960,0.9200
18,0.038684,0.9381,0.055003,0.8800
19,0.042226,0.9278,0.043117,0.8800
20,0.039322,0.9278,0.028726,0.9600
21,0.031213,0.9485,0.069756,0.8400
22,0.053050,0.9278,0.036439,0.9600
23,0.040344,0.9485,0.033350,0.9200
24,0.048344,0.9381,0.025805,0.9600
25,0.038979,0.9691,0.028707,0.9600
1,0.106016,0.6495,0.098396,0.6800
2,0.050182,0.8763,0.039744,0.8800
3,0.046792,0.8660,0.021084,0.9600
4,0.043406,0.9175,0.017189,1.0000
5,0.038766,0.9072,0.022202,0.9600
6,0.034754,0.9278,0.009294,1.0000
7,0.030570,0.9485,0.024897,0.9600
8,0.032495,0.9278,0.021579,0.9200
9,0.037789,0.9278,0.020656,0.9600
10,0.031887,0.9485,0.050236,0.8800
11,0.057627,0.8763,0.058478,0.8400
12,0.050455,0.8866,0.039662,0.8800
13,0.044270,0.9175,0.052260,0.8400
14,0.041696,0.9278,0.087414,0.8000
15,0.039856,0.9381,0.091490,0.7600
16,0.047623,0.8866,0.044365,0.8800
17,0.039633,0.9175,0.034960,0.9200
18,0.038684,0.9381,0.055003,0.8800
19,0.042226,0.9278,0.043117,0.8800
20,0.039322,0.9278,0.028726,0.9600
21,0.031213,0.9485,0.069756,0.8400
22,0.053050,0.9278,0.036439,0.9600
23,0.040344,0.9485,0.033350,0.9200
24,0.048344,0.9381,0.025805,0.9600
25,0.038979,0.9691,0.028707,0.9600
1,0.106016,0.6495,0.098396,0.6800
2,0.050182,0.8763,0.039744,0.8800
3,0.046792,0.8660,0.021084,0.9600
4,0.043406,0.9175,0.017189,1.0000
5,0.038766,0.9072,0.022202,0.9600
6,0.034754,0.9278,0.009294,1.0000
7,0.030570,0.9485,0.024897,0.9600
8,0.032495,0.9278,0.021579,0.9200
9,0.037789,0.9278,0.020656,0.9600
10,0.031887,0.9485,0.050236,0.8800
11,0.057627,0.8763,0.058478,0.8400
12,0.050455,0.8866,0.039662,0.8800
13,0.044270,0.9175,0.052260,0.8400
14,0.041696,0.9278,0.087414,0.8000
15,0.039856,0.9381,0.091490,0.7600
16,0.047623,0.8866,0.044365,0.8800
17,0.039633,0.9175,0.034960,0.9200
18,0.038684,0.9381,0.055003,0.8800
19,0.042226,0.9278,0.043117,0.8800
20,0.039322,0.9278,0.028726,0.9600
21,0.031213,0.9485,0.069756,0.8400
22,0.053050,0.9278,0.036439,0.9600
23,0.040344,0.9485,0.033350,0.9200
24,0.048344,0.9381,0.025805,0.9600
25,0.038979,0.9691,0.028707,0.9600
1,0.106016,0.6495,0.098396,0.6800
2,0.050182,0.8763,0.039744,0.8800
3,0.046792,0.8660,0.021084,0.9600
4,0.043406,0.9175,0.017189,1.0000
5,0.038766,0.9072,0.022202,0.9600
