Epoch,Train Loss,Train Accuracy,Validation Loss,Validation Accuracy
1,0.105864,0.6804,0.109864,0.6800
2,0.078279,0.7732,0.063617,0.8000
3,0.041180,0.9072,0.046354,0.9200
4,0.034707,0.9381,0.039311,0.9200
5,0.032561,0.9381,0.037554,0.9200
6,0.027743,0.9381,0.100589,0.6800
7,0.073711,0.8247,0.055342,0.8800
8,0.041284,0.9175,0.036530,0.9200
9,0.033056,0.9381,0.034180,0.9600
10,0.029720,0.9175,0.033768,0.9200
11,0.030718,0.9381,0.031714,0.9200
12,0.033528,0.9278,0.033211,0.9200
13,0.024185,0.9381,0.033316,0.9200
14,0.030344,0.9381,0.035460,0.9200
15,0.026844,0.9175,0.034164,0.9200
16,0.024176,0.9381,0.053135,0.8400
17,0.022412,0.9278,0.033875,0.9200
18,0.020269,0.9381,0.035177,0.9600
19,0.023563,0.9278,0.033818,0.9600
20,0.023449,0.9381,0.036304,0.9200
21,0.025717,0.9485,0.034691,0.9200
22,0.024719,0.9485,0.046623,0.8800
23,0.024384,0.9485,0.033498,0.9200
24,0.025309,0.9278,0.035548,0.9200
25,0.022744,0.9381,0.039958,0.9200
26,0.017959,0.9691,0.035260,0.9200
27,0.018851,0.9588,0.040698,0.9200
28,0.022713,0.9485,0.064780,0.8000
29,0.040801,0.8763,0.039095,0.9200
30,0.023070,0.9588,0.052537,0.8400
1,0.105896,0.6804,0.109892,0.6800
2,0.078940,0.7732,0.067601,0.8000
3,0.043843,0.8969,0.050440,0.9200
4,0.037380,0.9381,0.041643,0.9200
5,0.034770,0.9381,0.039383,0.9200
6,0.030105,0.9485,0.109553,0.6800
7,0.083342,0.8247,0.057455,0.8800
8,0.045167,0.9278,0.040338,0.9200
9,0.036596,0.9278,0.037515,0.9200
10,0.033439,0.9175,0.039172,0.9200
11,0.034726,0.9278,0.036099,0.9200
12,0.038018,0.9175,0.038447,0.9200
13,0.032087,0.9381,0.042212,0.9200
14,0.036230,0.9175,0.039019,0.9200
15,0.032752,0.9278,0.041877,0.9200
16,0.031234,0.9381,0.050912,0.8400
17,0.025066,0.9588,0.040170,0.9200
18,0.025850,0.9485,0.040999,0.8800
19,0.030828,0.9381,0.044176,0.9600
20,0.029255,0.9381,0.045434,0.9200
21,0.030900,0.9485,0.054219,0.9200
22,0.040681,0.9175,0.054363,0.8800
23,0.034574,0.9381,0.052957,0.8800
24,0.035235,0.9381,0.057768,0.8400
25,0.034659,0.9381,0.048107,0.9200
26,0.026951,0.9485,0.045729,0.9200
27,0.027895,0.9588,0.047981,0.9200
28,0.030506,0.9381,0.062905,0.8800
29,0.044785,0.8763,0.050646,0.9200
30,0.030135,0.9485,0.069875,0.8400
1,0.113211,0.6186,0.110341,0.6000
2,0.059695,0.8557,0.034862,0.9200
3,0.038565,0.9175,0.035895,0.9200
4,0.032111,0.9381,0.036021,0.9200
5,0.028859,0.9381,0.041416,0.8800
6,0.024082,0.9485,0.036378,0.9200
7,0.028483,0.9381,0.045689,0.9200
8,0.030271,0.9485,0.043495,0.9200
9,0.038082,0.9381,0.074225,0.8000
10,0.035295,0.9381,0.048807,0.8400
11,0.038267,0.9278,0.033495,0.9600
12,0.032986,0.9381,0.059267,0.8800
13,0.037295,0.9381,0.041375,0.9200
14,0.041035,0.9278,0.045228,0.9200
15,0.043006,0.9175,0.055292,0.8400
16,0.032126,0.9381,0.039473,0.9200
17,0.026714,0.9691,0.040411,0.9200
18,0.029880,0.9485,0.078707,0.8400
19,0.075332,0.8454,0.072612,0.8000
20,0.053005,0.9072,0.060693,0.8800
21,0.038812,0.9588,0.055800,0.8800
22,0.041154,0.9588,0.057072,0.8800
23,0.038904,0.9691,0.057335,0.8800
24,0.040762,0.9588,0.062671,0.8400
25,0.033396,0.9691,0.058381,0.8800
26,0.033049,0.9794,0.057373,0.8800
27,0.035084,0.9691,0.056561,0.8800
28,0.038202,0.9485,0.055895,0.8800
29,0.031363,0.9691,0.055307,0.8800
30,0.039739,0.9485,0.055249,0.8800
1,0.113211,0.6186,0.110341,0.6000
2,0.059695,0.8557,0.034862,0.9200
3,0.038565,0.9175,0.035895,0.9200
4,0.032111,0.9381,0.036021,0.9200
5,0.028859,0.9381,0.041416,0.8800
6,0.024082,0.9485,0.036378,0.9200
7,0.028483,0.9381,0.045689,0.9200
8,0.030271,0.9485,0.043495,0.9200
9,0.038082,0.9381,0.074225,0.8000
10,0.035295,0.9381,0.048807,0.8400
11,0.038267,0.9278,0.033495,0.9600
12,0.032986,0.9381,0.059267,0.8800
13,0.037295,0.9381,0.041375,0.9200
14,0.041035,0.9278,0.045228,0.9200
15,0.043006,0.9175,0.055292,0.8400
16,0.032126,0.9381,0.039473,0.9200
17,0.026714,0.9691,0.040411,0.9200
18,0.029880,0.9485,0.078707,0.8400
19,0.075332,0.8454,0.072612,0.8000
20,0.053005,0.9072,0.060693,0.8800
21,0.038812,0.9588,0.055800,0.8800
22,0.041154,0.9588,0.057072,0.8800
23,0.038904,0.9691,0.057335,0.8800
24,0.040762,0.9588,0.062671,0.8400
